EXP_ID	TF	ReadsID	FilePath	Peaks (/mnt/space/ivanyev/egrid/dfs/ctrl-subsampled0.1/peaks-interval/)	macs2-pemode-peak-count	gem-peak-count	sissrs-peak-count	cpics-peak-count	QC.estFragLen	QC.FRiP_CPICS	QC.FRiP_GEM	QC.FRiP_MACS2-PEMODE	QC.FRiP_SISSRS	QC.NRF	QC.NSC	QC.PBC1	QC.PBC2	QC.RSC	readAlignedCount	alignPercent	readCount
EXP992050	ZNF142	READS992100,READS992101	DIANA_0293/Sample_13663_ZNF142_ChIP2_IGO_10521_B_43/13663_ZNF142_ChIP2_IGO_10521_B_43_S3_R1_001.fastq.gz,DIANA_0293/Sample_13663_ZNF142_ChIP2_IGO_10521_B_43/13663_ZNF142_ChIP2_IGO_10521_B_43_S3_R2_001.fastq.gz	PEAKS992044	8262	4733	6528	12781	200	3.56E-02	2.49E-02	5.04E-02	1.40E-02	0.99529	1.31426	0.99608	294.64266	1.76750	16176108	86.28211995	18747926
EXP992051	ZNF160	READS992102,READS992103	DIANA_0293/Sample_13664_ZNF160_ChIP1_IGO_10521_B_105/13664_ZNF160_ChIP1_IGO_10521_B_105_S175_R1_001.fastq.gz,DIANA_0293/Sample_13664_ZNF160_ChIP1_IGO_10521_B_105/13664_ZNF160_ChIP1_IGO_10521_B_105_S175_R2_001.fastq.gz	PEAKS992045	16	0	12	202	170	1.95E-04	0.00E+00	2.57E-03	4.82E-06	0.99861	1.00945	0.99884	918.58490	1.20597	20637598	86.38103863	23891352
EXP992052	ZNF160	READS992104,READS992105	DIANA_0293/Sample_13664_ZNF160_ChIP2_IGO_10521_B_51/13664_ZNF160_ChIP2_IGO_10521_B_51_S157_R1_001.fastq.gz,DIANA_0293/Sample_13664_ZNF160_ChIP2_IGO_10521_B_51/13664_ZNF160_ChIP2_IGO_10521_B_51_S157_R2_001.fastq.gz	PEAKS992046	1	0	7	1300	145	1.55E-03	0.00E+00	3.04E-06	5.64E-06	0.99928	1.01352	0.99937	1707.86325	1.02673	10259560	83.88948615	12229852
EXP992053	ZNF20	READS992106,READS992107	DIANA_0293/Sample_13665_ZNF20_ChIP1_IGO_10521_B_113/13665_ZNF20_ChIP1_IGO_10521_B_113_S97_R1_001.fastq.gz,DIANA_0293/Sample_13665_ZNF20_ChIP1_IGO_10521_B_113/13665_ZNF20_ChIP1_IGO_10521_B_113_S97_R2_001.fastq.gz	PEAKS992047	1272	995	1277	10074	245	1.35E-02	4.02E-03	5.80E-03	1.48E-03	0.99868	1.03290	0.99884	915.21949	1.73380	15090856	88.30820096	17088850
EXP992054	ZNF20	READS992108,READS992109	DIANA_0293/Sample_13665_ZNF20_ChIP2_IGO_10521_B_59/13665_ZNF20_ChIP2_IGO_10521_B_59_S16_R1_001.fastq.gz,DIANA_0293/Sample_13665_ZNF20_ChIP2_IGO_10521_B_59/13665_ZNF20_ChIP2_IGO_10521_B_59_S16_R2_001.fastq.gz	PEAKS992048	250	226	288	2652	165	3.36E-03	8.23E-04	1.21E-03	3.97E-04	0.99883	1.01614	0.99898	1042.70864	1.58907	16197722	87.7087681	18467620
EXP992055	ZNF207	READS992110,READS992111	DIANA_0293/Sample_13666_ZNF207_ChIP1_IGO_10521_B_120/13666_ZNF207_ChIP1_IGO_10521_B_120_S100_R1_001.fastq.gz,DIANA_0293/Sample_13666_ZNF207_ChIP1_IGO_10521_B_120/13666_ZNF207_ChIP1_IGO_10521_B_120_S100_R2_001.fastq.gz	PEAKS992049	6054	53	2674	11883	155	1.42E-02	9.28E-05	1.56E-02	2.49E-03	0.99876	1.01579	0.99889	950.15934	1.09628	16341848	89.62263158	18234064
EXP992056	ZNF207	READS992112,READS992113	DIANA_0293/Sample_13666_ZNF207_ChIP2_IGO_10521_B_67/13666_ZNF207_ChIP2_IGO_10521_B_67_S24_R1_001.fastq.gz,DIANA_0293/Sample_13666_ZNF207_ChIP2_IGO_10521_B_67/13666_ZNF207_ChIP2_IGO_10521_B_67_S24_R2_001.fastq.gz	PEAKS992050	100	97	120	412	160	1.16E-03	6.88E-04	1.57E-03	2.73E-04	0.99850	1.02134	0.99886	958.19265	1.46851	17496986	89.67619472	19511294
EXP992057	CONTROL	READS992114,READS992115	DIANA_0293/Sample_13668_ZNF215_INPUT1_IGO_10521_B_147/13668_ZNF215_INPUT1_IGO_10521_B_147_S141_R1_001.fastq.gz,DIANA_0293/Sample_13668_ZNF215_INPUT1_IGO_10521_B_147/13668_ZNF215_INPUT1_IGO_10521_B_147_S141_R2_001.fastq.gz	CONTROL	NA	NA	NA	NA	155	NA	NA	NA	NA	0.99887	1.00614	0.99905	1122.24856	1.19539	16667330	91.13117205	18289384
EXP992058	ZNF226	READS992116,READS992117	DIANA_0293/Sample_13669_ZNF226_ChIP1_IGO_10521_B_128/13669_ZNF226_ChIP1_IGO_10521_B_128_S108_R1_001.fastq.gz,DIANA_0293/Sample_13669_ZNF226_ChIP1_IGO_10521_B_128/13669_ZNF226_ChIP1_IGO_10521_B_128_S108_R2_001.fastq.gz	PEAKS992051	216	140	322	4641	180	4.53E-03	3.18E-04	6.13E-04	2.56E-04	0.99875	1.01248	0.99895	1021.91158	1.32509	17453612	88.65669874	19686738
EXP992059	ZNF226	READS992118,READS992119	DIANA_0293/Sample_13669_ZNF226_ChIP2_IGO_10521_B_75/13669_ZNF226_ChIP2_IGO_10521_B_75_S158_R1_001.fastq.gz,DIANA_0293/Sample_13669_ZNF226_ChIP2_IGO_10521_B_75/13669_ZNF226_ChIP2_IGO_10521_B_75_S158_R2_001.fastq.gz	PEAKS992052	2	0	2	2239	160	2.28E-03	0.00E+00	1.94E-05	2.82E-06	0.99910	1.01227	0.99926	1483.22381	1.10434	11921822	88.1130199	13530148
EXP992060	ZNF229	READS992120,READS992121	DIANA_0293/Sample_13670_ZNF229_ChIP1_IGO_10521_B_135/13670_ZNF229_ChIP1_IGO_10521_B_135_S113_R1_001.fastq.gz,DIANA_0293/Sample_13670_ZNF229_ChIP1_IGO_10521_B_135/13670_ZNF229_ChIP1_IGO_10521_B_135_S113_R2_001.fastq.gz	PEAKS992053	10	0	12	2370	150	2.07E-03	0.00E+00	5.89E-05	6.19E-06	0.99886	1.00943	0.99901	1081.14663	1.13763	16681432	88.78804398	18787926
EXP992061	ZNF229	READS992122,READS992123	DIANA_0293/Sample_13670_ZNF229_ChIP2_IGO_10521_B_83/13670_ZNF229_ChIP2_IGO_10521_B_83_S37_R1_001.fastq.gz,DIANA_0293/Sample_13670_ZNF229_ChIP2_IGO_10521_B_83/13670_ZNF229_ChIP2_IGO_10521_B_83_S37_R2_001.fastq.gz	PEAKS992054	10	0	9	2424	70	2.38E-03	0.00E+00	2.61E-04	9.53E-06	0.99880	1.00945	0.99918	1375.15517	0.98998	12605034	88.9309896	14173950
EXP992062	ZNF230	READS992124,READS992125	DIANA_0293/Sample_13671_ZNF230_ChIP1_IGO_10521_B_142/13671_ZNF230_ChIP1_IGO_10521_B_142_S66_R1_001.fastq.gz,DIANA_0293/Sample_13671_ZNF230_ChIP1_IGO_10521_B_142/13671_ZNF230_ChIP1_IGO_10521_B_142_S66_R2_001.fastq.gz	PEAKS992055	28	12	51	2498	155	2.51E-03	2.77E-05	9.68E-05	4.83E-05	0.99901	1.01194	0.99918	1332.87558	1.09486	13187944	88.56288845	14891050
EXP992063	ZNF230	READS992126,READS992127	DIANA_0293/Sample_13671_ZNF230_ChIP2_IGO_10521_B_91/13671_ZNF230_ChIP2_IGO_10521_B_91_S118_R1_001.fastq.gz,DIANA_0293/Sample_13671_ZNF230_ChIP2_IGO_10521_B_91/13671_ZNF230_ChIP2_IGO_10521_B_91_S118_R2_001.fastq.gz	PEAKS992056	1839	1081	1679	7828	240	1.24E-02	4.27E-03	6.95E-03	1.84E-03	0.99880	1.03568	0.99889	947.77915	2.08313	13896486	88.7761849	15653394
EXP992064	ZNF233	READS992128,READS992129	DIANA_0293/Sample_13672_ZNF233_ChIP1_IGO_10521_B_149/13672_ZNF233_ChIP1_IGO_10521_B_149_S170_R1_001.fastq.gz,DIANA_0293/Sample_13672_ZNF233_ChIP1_IGO_10521_B_149/13672_ZNF233_ChIP1_IGO_10521_B_149_S170_R2_001.fastq.gz	PEAKS992057	48	33	207	7371	190	7.14E-03	1.01E-04	1.69E-04	1.78E-04	0.99900	1.01451	0.99915	1261.45828	1.28683	14034650	85.60813055	16394062
EXP992065	ZNF233	READS992130,READS992131	DIANA_0293/Sample_13672_ZNF233_ChIP2_IGO_10521_B_2/13672_ZNF233_ChIP2_IGO_10521_B_2_S54_R1_001.fastq.gz,DIANA_0293/Sample_13672_ZNF233_ChIP2_IGO_10521_B_2/13672_ZNF233_ChIP2_IGO_10521_B_2_S54_R2_001.fastq.gz	PEAKS992058	32	6	28	7	155	2.31E-05	1.37E-05	2.15E-04	1.84E-05	0.99855	1.00814	0.99878	869.98070	1.05503	21877614	89.13365109	24544730
EXP992066	ZNF234	READS992132,READS992133	DIANA_0293/Sample_13673_ZNF234_ChIP1_IGO_10521_B_156/13673_ZNF234_ChIP1_IGO_10521_B_156_S144_R1_001.fastq.gz,DIANA_0293/Sample_13673_ZNF234_ChIP1_IGO_10521_B_156/13673_ZNF234_ChIP1_IGO_10521_B_156_S144_R2_001.fastq.gz	PEAKS992059	30	4	41	2082	180	1.89E-03	8.63E-06	1.29E-04	2.51E-05	0.99883	1.00970	0.99902	1090.29144	1.05517	16550966	89.77826443	18435382
EXP992067	ZNF234	READS992134,READS992135	DIANA_0293/Sample_13673_ZNF234_ChIP2_IGO_10521_B_10/13673_ZNF234_ChIP2_IGO_10521_B_10_S39_R1_001.fastq.gz,DIANA_0293/Sample_13673_ZNF234_ChIP2_IGO_10521_B_10/13673_ZNF234_ChIP2_IGO_10521_B_10_S39_R2_001.fastq.gz	PEAKS992060	91	39	114	461	180	5.82E-04	7.47E-05	2.10E-04	7.90E-05	0.99867	1.00998	0.99892	996.23024	1.10427	18881196	89.97113196	20985838
EXP992068	ZNF251	READS992136,READS992137	DIANA_0293/Sample_13674_ZNF251_ChIP1_IGO_10521_B_163/13674_ZNF251_ChIP1_IGO_10521_B_163_S76_R1_001.fastq.gz,DIANA_0293/Sample_13674_ZNF251_ChIP1_IGO_10521_B_163/13674_ZNF251_ChIP1_IGO_10521_B_163_S76_R2_001.fastq.gz	PEAKS992061	6772	3689	4944	12141	195	2.25E-02	1.01E-02	1.76E-02	5.16E-03	0.99839	1.05662	0.99857	736.66997	2.56103	15550846	88.45994439	17579534
EXP992069	ZNF251	READS992138,READS992139	DIANA_0293/Sample_13674_ZNF251_ChIP2_IGO_10521_B_18/13674_ZNF251_ChIP2_IGO_10521_B_18_S44_R1_001.fastq.gz,DIANA_0293/Sample_13674_ZNF251_ChIP2_IGO_10521_B_18/13674_ZNF251_ChIP2_IGO_10521_B_18_S44_R2_001.fastq.gz	PEAKS992062	10982	6091	6651	12697	220	2.27E-02	1.29E-02	2.25E-02	5.30E-03	0.99807	1.04811	0.99831	620.00061	2.32434	20706600	90.2111025	22953494
EXP992070	ZNF275	READS992140,READS992141	DIANA_0293/Sample_13675_ZNF275_ChIP1_IGO_10521_B_170/13675_ZNF275_ChIP1_IGO_10521_B_170_S173_R1_001.fastq.gz,DIANA_0293/Sample_13675_ZNF275_ChIP1_IGO_10521_B_170/13675_ZNF275_ChIP1_IGO_10521_B_170_S173_R2_001.fastq.gz	PEAKS992063	10465	332	5242	21856	170	2.40E-02	1.32E-03	4.61E-02	1.35E-02	0.99834	1.04017	0.99838	632.70042	1.34338	15383166	87.92225432	17496328
EXP992071	ZNF275	READS992142,READS992143	DIANA_0293/Sample_13675_ZNF275_ChIP2_IGO_10521_B_26/13675_ZNF275_ChIP2_IGO_10521_B_26_S129_R1_001.fastq.gz,DIANA_0293/Sample_13675_ZNF275_ChIP2_IGO_10521_B_26/13675_ZNF275_ChIP2_IGO_10521_B_26_S129_R2_001.fastq.gz	PEAKS992064	1587	27	897	5127	240	5.22E-03	8.88E-05	5.54E-03	1.35E-03	0.99883	1.00986	0.99896	1008.19732	1.16372	16961694	90.4184849	18759100
EXP992072	ZNF280B	READS992144,READS992145	DIANA_0293/Sample_13676_ZNF280B_ChIP1_IGO_10521_B_177/13676_ZNF280B_ChIP1_IGO_10521_B_177_S86_R1_001.fastq.gz,DIANA_0293/Sample_13676_ZNF280B_ChIP1_IGO_10521_B_177/13676_ZNF280B_ChIP1_IGO_10521_B_177_S86_R2_001.fastq.gz	PEAKS992065	916	58	545	5737	245	6.47E-03	1.34E-04	1.61E-03	3.65E-04	0.99878	1.01247	0.99887	924.16574	1.24424	17939870	88.06139917	20372002
EXP992073	ZNF280B	READS992146,READS992147	DIANA_0293/Sample_13676_ZNF280B_ChIP2_IGO_10521_B_34/13676_ZNF280B_ChIP2_IGO_10521_B_34_S163_R1_001.fastq.gz,DIANA_0293/Sample_13676_ZNF280B_ChIP2_IGO_10521_B_34/13676_ZNF280B_ChIP2_IGO_10521_B_34_S163_R2_001.fastq.gz	PEAKS992066	50	21	89	346	180	4.32E-04	6.53E-05	3.69E-04	7.18E-05	0.99866	1.01046	0.99885	927.25202	1.06737	19758076	85.49083571	23111338
EXP992074	ZNF280D	READS992148,READS992149	DIANA_0293/Sample_13677_ZNF280D_ChIP1_IGO_10521_B_98/13677_ZNF280D_ChIP1_IGO_10521_B_98_S123_R1_001.fastq.gz,DIANA_0293/Sample_13677_ZNF280D_ChIP1_IGO_10521_B_98/13677_ZNF280D_ChIP1_IGO_10521_B_98_S123_R2_001.fastq.gz	PEAKS992067	12091	2779	4579	16271	220	1.94E-02	5.55E-03	2.14E-02	3.53E-03	0.99752	1.03345	0.99799	560.71482	1.25054	21517770	84.89598375	25346040
EXP992075	ZNF280D	READS992150,READS992151	DIANA_0293/Sample_13677_ZNF280D_ChIP2_IGO_10521_B_42/13677_ZNF280D_ChIP2_IGO_10521_B_42_S2_R1_001.fastq.gz,DIANA_0293/Sample_13677_ZNF280D_ChIP2_IGO_10521_B_42/13677_ZNF280D_ChIP2_IGO_10521_B_42_S2_R2_001.fastq.gz	PEAKS992068	20	0	13	132	160	1.28E-04	0.00E+00	4.74E-04	1.71E-05	0.99851	1.01086	0.99871	833.58138	1.08107	21076382	89.67423095	23503276
EXP992076	ZNF326	READS992152,READS992153	DIANA_0293/Sample_13681_ZNF326_ChIP1_IGO_10521_B_106/13681_ZNF326_ChIP1_IGO_10521_B_106_S176_R1_001.fastq.gz,DIANA_0293/Sample_13681_ZNF326_ChIP1_IGO_10521_B_106/13681_ZNF326_ChIP1_IGO_10521_B_106_S176_R2_001.fastq.gz	PEAKS992069	2	0	13	3837	160	3.72E-03	0.00E+00	1.32E-05	1.02E-05	0.99907	1.01025	0.99915	1241.61343	1.10617	13475592	87.33363431	15430014
EXP992077	ZNF326	READS992154,READS992155	DIANA_0293/Sample_13681_ZNF326_ChIP2_IGO_10521_B_50/13681_ZNF326_ChIP2_IGO_10521_B_50_S156_R1_001.fastq.gz,DIANA_0293/Sample_13681_ZNF326_ChIP2_IGO_10521_B_50/13681_ZNF326_ChIP2_IGO_10521_B_50_S156_R2_001.fastq.gz	PEAKS992070	3	0	1	2032	150	2.11E-03	0.00E+00	2.85E-06	5.69E-07	0.99914	1.01386	0.99926	1446.56470	1.31627	11593274	84.34352561	13745304
EXP992078	CONTROL	READS992156,READS992157	DIANA_0293/Sample_13681_ZNF326_INPUT2_IGO_10521_B_140/13681_ZNF326_INPUT2_IGO_10521_B_140_S165_R1_001.fastq.gz,DIANA_0293/Sample_13681_ZNF326_INPUT2_IGO_10521_B_140/13681_ZNF326_INPUT2_IGO_10521_B_140_S165_R2_001.fastq.gz	CONTROL	NA	NA	NA	NA	185	NA	NA	NA	NA	0.99901	1.01102	0.99915	1277.85247	1.02930	13301346	82.52576498	16117810
EXP992079	ZNF347	READS992158,READS992159	DIANA_0293/Sample_13683_ZNF347_ChIP1_IGO_10521_B_114/13683_ZNF347_ChIP1_IGO_10521_B_114_S178_R1_001.fastq.gz,DIANA_0293/Sample_13683_ZNF347_ChIP1_IGO_10521_B_114/13683_ZNF347_ChIP1_IGO_10521_B_114_S178_R2_001.fastq.gz	PEAKS992071	32964	12302	17683	49965	210	1.34E-01	8.06E-02	1.82E-01	2.86E-02	0.97931	2.58213	0.98463	84.81385	1.69089	15506392	76.60190562	20242828
EXP992080	ZNF347	READS992160,READS992161	DIANA_0293/Sample_13683_ZNF347_ChIP2_IGO_10521_B_58/13683_ZNF347_ChIP2_IGO_10521_B_58_S124_R1_001.fastq.gz,DIANA_0293/Sample_13683_ZNF347_ChIP2_IGO_10521_B_58/13683_ZNF347_ChIP2_IGO_10521_B_58_S124_R2_001.fastq.gz	PEAKS992072	149	18	99	254	170	3.68E-04	4.04E-05	4.50E-04	6.64E-05	0.99872	1.01188	0.99891	989.15585	1.25285	18468294	89.78248948	20570040
EXP992081	ZNF358	READS992162,READS992163	DIANA_0293/Sample_13684_ZNF358_ChIP1_IGO_10521_B_122/13684_ZNF358_ChIP1_IGO_10521_B_122_S102_R1_001.fastq.gz,DIANA_0293/Sample_13684_ZNF358_ChIP1_IGO_10521_B_122/13684_ZNF358_ChIP1_IGO_10521_B_122_S102_R2_001.fastq.gz	PEAKS992073	533	58	612	11192	220	1.14E-02	1.65E-04	1.22E-03	4.81E-04	0.99886	1.01242	0.99902	1084.04390	1.26781	15354008	89.6040035	17135404
EXP992082	ZNF358	READS992164,READS992165	DIANA_0293/Sample_13684_ZNF358_ChIP2_IGO_10521_B_66/13684_ZNF358_ChIP2_IGO_10521_B_66_S23_R1_001.fastq.gz,DIANA_0293/Sample_13684_ZNF358_ChIP2_IGO_10521_B_66/13684_ZNF358_ChIP2_IGO_10521_B_66_S23_R2_001.fastq.gz	PEAKS992074	31	3	45	1155	175	1.15E-03	7.98E-06	1.14E-04	2.14E-05	0.99884	1.00710	0.99900	1059.25383	1.05874	17286826	88.59160127	19512940
EXP992083	ZNF362	READS992166,READS992167	DIANA_0293/Sample_13685_ZNF362_ChIP1_IGO_10521_B_129/13685_ZNF362_ChIP1_IGO_10521_B_129_S109_R1_001.fastq.gz,DIANA_0293/Sample_13685_ZNF362_ChIP1_IGO_10521_B_129/13685_ZNF362_ChIP1_IGO_10521_B_129_S109_R2_001.fastq.gz	PEAKS992075	92095	21926	26591	135957	235	1.80E-01	4.18E-02	1.71E-01	2.49E-02	0.99678	1.15468	0.99682	317.92541	2.03476	16925430	89.99591958	18806886
EXP992084	ZNF362	READS992168,READS992169	DIANA_0293/Sample_13685_ZNF362_ChIP2_IGO_10521_B_82/13685_ZNF362_ChIP2_IGO_10521_B_82_S36_R1_001.fastq.gz,DIANA_0293/Sample_13685_ZNF362_ChIP2_IGO_10521_B_82/13685_ZNF362_ChIP2_IGO_10521_B_82_S36_R2_001.fastq.gz	PEAKS992076	50345	15523	19693	77373	210	1.08E-01	3.07E-02	8.99E-02	1.75E-02	0.99761	1.11311	0.99776	460.36184	2.18993	16258200	90.22506821	18019604
EXP992085	ZNF385A	READS992170,READS992171	DIANA_0293/Sample_13687_ZNF385A_ChIP1_IGO_10521_B_136/13687_ZNF385A_ChIP1_IGO_10521_B_136_S62_R1_001.fastq.gz,DIANA_0293/Sample_13687_ZNF385A_ChIP1_IGO_10521_B_136/13687_ZNF385A_ChIP1_IGO_10521_B_136_S62_R2_001.fastq.gz	PEAKS992077	96	17	296	4234	145	4.55E-03	3.41E-05	2.34E-04	2.19E-04	0.99883	1.00942	0.99906	1142.91371	1.08703	15399576	89.85652902	17137960
EXP992086	ZNF385A	READS992172,READS992173	DIANA_0293/Sample_13687_ZNF385A_ChIP2_IGO_10521_B_74/13687_ZNF385A_ChIP2_IGO_10521_B_74_S30_R1_001.fastq.gz,DIANA_0293/Sample_13687_ZNF385A_ChIP2_IGO_10521_B_74/13687_ZNF385A_ChIP2_IGO_10521_B_74_S30_R2_001.fastq.gz	PEAKS992078	7	0	1	150	160	1.39E-04	0.00E+00	7.47E-05	2.18E-07	0.99865	1.00852	0.99883	901.40543	1.10178	20430730	89.47415165	22834226
EXP992087	ZNF385B	READS992174,READS992175	DIANA_0293/Sample_13688_ZNF385B_ChIP1_IGO_10521_B_143/13688_ZNF385B_ChIP1_IGO_10521_B_143_S167_R1_001.fastq.gz,DIANA_0293/Sample_13688_ZNF385B_ChIP1_IGO_10521_B_143/13688_ZNF385B_ChIP1_IGO_10521_B_143_S167_R2_001.fastq.gz	PEAKS992079	4	0	10	301	195	2.90E-04	0.00E+00	5.35E-05	1.42E-05	0.99870	1.00812	0.99881	875.47433	1.19423	20174998	87.24158974	23125436
EXP992088	ZNF385B	READS992176,READS992177	DIANA_0293/Sample_13688_ZNF385B_ChIP2_IGO_10521_B_90/13688_ZNF385B_ChIP2_IGO_10521_B_90_S117_R1_001.fastq.gz,DIANA_0293/Sample_13688_ZNF385B_ChIP2_IGO_10521_B_90/13688_ZNF385B_ChIP2_IGO_10521_B_90_S117_R2_001.fastq.gz	PEAKS992080	5	0	0	94	150	9.22E-05	0.00E+00	2.43E-05	0.00E+00	0.99866	1.00992	0.99890	973.11278	1.19004	19370826	89.85084931	21558868
EXP992089	ZNF385C	READS992178,READS992179	DIANA_0293/Sample_13689_ZNF385C_ChIP1_IGO_10521_B_150/13689_ZNF385C_ChIP1_IGO_10521_B_150_S171_R1_001.fastq.gz,DIANA_0293/Sample_13689_ZNF385C_ChIP1_IGO_10521_B_150/13689_ZNF385C_ChIP1_IGO_10521_B_150_S171_R2_001.fastq.gz	PEAKS992081	3	0	19	2673	155	2.82E-03	0.00E+00	3.71E-05	1.78E-05	0.99916	1.01325	0.99922	1329.09813	1.18586	12304330	85.12292614	14454778
EXP992090	ZNF385C	READS992180,READS992181	DIANA_0293/Sample_13689_ZNF385C_ChIP2_IGO_10521_B_4/13689_ZNF385C_ChIP2_IGO_10521_B_4_S136_R1_001.fastq.gz,DIANA_0293/Sample_13689_ZNF385C_ChIP2_IGO_10521_B_4/13689_ZNF385C_ChIP2_IGO_10521_B_4_S136_R2_001.fastq.gz	PEAKS992082	5	1	6	146	195	1.38E-04	1.89E-06	3.51E-05	5.12E-06	0.99861	1.00908	0.99886	939.25701	1.13008	19754560	90.27723383	21882106
EXP992091	ZNF395	READS992182,READS992183	DIANA_0293/Sample_13690_ZNF395_ChIP1_IGO_10521_B_157/13690_ZNF395_ChIP1_IGO_10521_B_157_S71_R1_001.fastq.gz,DIANA_0293/Sample_13690_ZNF395_ChIP1_IGO_10521_B_157/13690_ZNF395_ChIP1_IGO_10521_B_157_S71_R2_001.fastq.gz	PEAKS992083	5	0	19	2220	230	2.29E-03	0.00E+00	1.02E-04	1.19E-05	0.99909	1.00998	0.99923	1403.38659	1.00485	12879320	89.26992339	14427390
EXP992092	ZNF395	READS992184,READS992185	DIANA_0293/Sample_13690_ZNF395_ChIP2_IGO_10521_B_12/13690_ZNF395_ChIP2_IGO_10521_B_12_S41_R1_001.fastq.gz,DIANA_0293/Sample_13690_ZNF395_ChIP2_IGO_10521_B_12/13690_ZNF395_ChIP2_IGO_10521_B_12_S41_R2_001.fastq.gz	PEAKS992084	822	28	524	8515	150	8.64E-03	5.49E-05	1.81E-03	4.53E-04	0.99890	1.01124	0.99903	1096.08681	1.21367	15104172	88.15216628	17134204
EXP992093	ZNF470	READS992186,READS992187	DIANA_0293/Sample_13696_ZNF470_ChIP1_IGO_10521_B_164/13696_ZNF470_ChIP1_IGO_10521_B_164_S77_R1_001.fastq.gz,DIANA_0293/Sample_13696_ZNF470_ChIP1_IGO_10521_B_164/13696_ZNF470_ChIP1_IGO_10521_B_164_S77_R2_001.fastq.gz	PEAKS992085	186	73	205	1127	225	1.53E-03	2.88E-04	7.66E-04	1.90E-04	0.99880	1.00938	0.99895	1012.81198	1.15663	17014612	89.16265683	19082666
EXP992094	ZNF470	READS992188,READS992189	DIANA_0293/Sample_13696_ZNF470_ChIP2_IGO_10521_B_20/13696_ZNF470_ChIP2_IGO_10521_B_20_S47_R1_001.fastq.gz,DIANA_0293/Sample_13696_ZNF470_ChIP2_IGO_10521_B_20/13696_ZNF470_ChIP2_IGO_10521_B_20_S47_R2_001.fastq.gz	PEAKS992086	940	756	987	5780	200	9.00E-03	3.29E-03	4.84E-03	1.24E-03	0.99841	1.04259	0.99868	818.81191	2.11638	16525740	89.01110798	18565930
EXP992095	ZNF471	READS992190,READS992191	DIANA_0293/Sample_13697_ZNF471_ChIP1_IGO_10521_B_171/13697_ZNF471_ChIP1_IGO_10521_B_171_S81_R1_001.fastq.gz,DIANA_0293/Sample_13697_ZNF471_ChIP1_IGO_10521_B_171/13697_ZNF471_ChIP1_IGO_10521_B_171_S81_R2_001.fastq.gz	PEAKS992087	8218	7261	7382	10249	210	4.07E-02	3.31E-02	4.45E-02	1.07E-02	0.99551	1.26516	0.99601	272.94624	2.86214	19574312	89.12631649	21962438
EXP992096	ZNF471	READS992192,READS992193	DIANA_0293/Sample_13697_ZNF471_ChIP2_IGO_10521_B_28/13697_ZNF471_ChIP2_IGO_10521_B_28_S130_R1_001.fastq.gz,DIANA_0293/Sample_13697_ZNF471_ChIP2_IGO_10521_B_28/13697_ZNF471_ChIP2_IGO_10521_B_28_S130_R2_001.fastq.gz	PEAKS992088	3192	2757	2887	5108	195	1.29E-02	9.05E-03	1.15E-02	3.50E-03	0.99824	1.05202	0.99848	703.77114	2.79761	17594626	89.69471237	19616124
EXP992097	ZNF474	READS992194,READS992195	DIANA_0293/Sample_13698_ZNF474_ChIP1_IGO_10521_B_178/13698_ZNF474_ChIP1_IGO_10521_B_178_S87_R1_001.fastq.gz,DIANA_0293/Sample_13698_ZNF474_ChIP1_IGO_10521_B_178/13698_ZNF474_ChIP1_IGO_10521_B_178_S87_R2_001.fastq.gz	PEAKS992089	6	0	5	589	165	5.51E-04	0.00E+00	1.83E-04	2.58E-06	0.99881	1.01031	0.99897	1035.80640	1.10480	17047842	89.83888926	18976016
EXP992098	ZNF474	READS992196,READS992197	DIANA_0293/Sample_13698_ZNF474_ChIP2_IGO_10521_B_36/13698_ZNF474_ChIP2_IGO_10521_B_36_S132_R1_001.fastq.gz,DIANA_0293/Sample_13698_ZNF474_ChIP2_IGO_10521_B_36/13698_ZNF474_ChIP2_IGO_10521_B_36_S132_R2_001.fastq.gz	PEAKS992090	27	5	34	49	165	6.27E-05	1.47E-05	2.62E-04	2.13E-05	0.99832	1.01057	0.99859	757.94415	1.22091	25548374	89.73814954	28469914
EXP992099	ZNF48	READS992198,READS992199	DIANA_0293/Sample_13699_ZNF48_ChIP1_IGO_10521_B_99/13699_ZNF48_ChIP1_IGO_10521_B_99_S155_R1_001.fastq.gz,DIANA_0293/Sample_13699_ZNF48_ChIP1_IGO_10521_B_99/13699_ZNF48_ChIP1_IGO_10521_B_99_S155_R2_001.fastq.gz	PEAKS992091	789	147	639	9143	185	1.16E-02	9.84E-04	4.23E-03	1.63E-03	0.99895	1.03322	0.99906	1133.32643	1.19823	11650368	89.2576283	13052518
EXP992100	ZNF48	READS992200,READS992201	DIANA_0293/Sample_13699_ZNF48_ChIP2_IGO_10521_B_44/13699_ZNF48_ChIP2_IGO_10521_B_44_S4_R1_001.fastq.gz,DIANA_0293/Sample_13699_ZNF48_ChIP2_IGO_10521_B_44/13699_ZNF48_ChIP2_IGO_10521_B_44_S4_R2_001.fastq.gz	PEAKS992092	4687	311	2413	5697	160	6.80E-03	9.83E-04	1.00E-02	2.70E-03	0.99836	1.02307	0.99849	691.88587	1.29903	21978356	89.36891474	24592842
